id,political_party,tweet
1343476985587236864,ciudadanos,"🚨 El Gobierno de España ha dejado abandonados a la hostelería y al comercio en su peor momento.   📺 @Begonavillacis ""Por eso desde el Ayto. de @MADRID nos hemos esforzado por sacar adelante unos Presupuestos buenos para estos sectores"" #LaHoraVillacís  https://t.co/aGHsU7h3PF"
1343473883505184770,ciudadanos,"📺 @Begonavillacis ""La única forma de perimetrar Barajas es adoptar un criterio objetivo: hacer una PCR sistemática"" #LaHoraVillacís   ✅ Así se protegería nuestro país y se ofrecería seguridad a los españoles frente a la #COVID19  https://t.co/v9gS3No5ob"
1343472144467054593,ciudadanos,"❌ Sánchez no puede estar sólo para lo bueno, también tiene que estar en lo malo.   👎 España no se podía permitir 17 planes diferentes para Navidades.   📺 @begonavillacis ""Esto demuestra que el Gobierno de España no ha aprendido nada de los errores"" #LaHoraVillacís  https://t.co/vTSTKFu66G"
1343471097308733440,ciudadanos,"👉 Los españoles hemos pasado una etapa que nos ha generado mucha desconfianza.  📺 @begonavillacis ""Pero yo les digo que, cuando se hayan vacunado a las personas de riesgo y haya una campaña de vacunación, me vacunaré junto con toda mi familia"" #LaHoraVillacís  https://t.co/rYY4H4AjZj"
1343468934968840193,ciudadanos,"⛅️ ¡Buenos días y #FelizLunes!   📺 Comienza la mañana con @begonavillacis en @LaHoraTVE   ⏰ En unos minutos estará comentando la actualidad, ¡no te lo pierdas! ➡️  https://t.co/1ZGtlrA5ZD  https://t.co/6e8dPVKmCm"
1343247775488684035,ciudadanos,"🧸 Hoy @carrizosacarlos ha donado a @CreuRojaCAT los juguetes recogidos por @jovenesCs en Cataluña.  🎄 Gracias a la solidaridad de miles de voluntarios, no faltará comida, mascarillas e ilusión en muchos hogares estas navidades.  https://t.co/XCk548yRwV"
1343221010359840768,ciudadanos,"🎄 Con la campaña #ComparteAndalucía invitamos a los ciudadanos a mostrar nuestra región durante estas fiestas.  📻 @JuanMarin_Cs ""Queremos mantener viva la ilusión de los viajeros por nuestra tierra para que vuelvan a ella cuando acabe la pandemia"" @GenteViajeraOCR  https://t.co/cx9lkeSPq1"
1343220968328716288,ciudadanos,"🚨 No podemos abandonar el turismo, es esencial para la economía española.  ✅ La @AndaluciaJunta está trabajando en la pronta recuperación de este sector.  📻 @JuanMarin_Cs ""El turismo nos ayudará a salir de esta crisis por su capacidad de resiliencia"" @GenteViajeraOCR  https://t.co/mfXLyUDiHl"
1343220887659667456,ciudadanos,📻 ¿Te perdiste la entrevista de @JuanMarin_Cs esta mañana en el programa @GenteViajeraOCR de @OndaCero_es?  👉 ¡Te dejamos un resumen con lo más destacado a continuación!  https://t.co/5mDVeUPdfE
1343163622336376833,ciudadanos,"❌ Illa apoya los pactos con Podemos ❌ Ábalos quiere 'aliviar tensiones' con separatistas ❌ Iceta descalifica a la Fiscalía...  ‼️ ¡Dejen de erosionar el Estado de Derecho!  📡 @carrizosacarlos ""Evidencian la intención del PSOE de pactar un tripartito en Cataluña"" #ActualidadCs  https://t.co/4gZHdqdesc"
1343160930302095362,ciudadanos,"❌ El Gobierno de España NO debe aprovechar políticamente esta vacunación.  ✅ Este es un éxito de la Ciencia, de Europa y de todos los españoles.  📡 @carrizosacarlos ""Hay que consensuar y coordinar la administración de la vacuna con las comunidades autónomas"" #ActualidadCs  https://t.co/NgyeGMIbvi"
1343159600498020352,ciudadanos,"🇪🇸 Es el primer día de vacunación contra el #COVID19 en España.  📡 @carrizosacarlos ""Es un momento de esperanza para todos los españoles para superar esta pandemia"" #ActualidadCs  😷 Sigamos siendo responsables, la vacuna no nos exime de tomar todas las precauciones.  https://t.co/yXkvUQ2Wy1"
1343158768046141442,ciudadanos,"🧸 Hoy hemos donado en la central de @CruzRojaEsp en Barcelona los juguetes recogidos por @jovenesCs.  📡 @carrizosacarlos ""Estamos orgullosos de la solidaridad de miles de voluntarios españoles que reparten alimentos y mascarillas para aquellos que lo necesitan"" #ActualidadCs  https://t.co/v5ETUB98wc"
1343151441012252677,ciudadanos,🎄🧸 @carrizosacarlos ha entregado en @CruzRojaEsp los juguetes recogidos en las sedes de @CiutadansCs para que ningún niño se quede sin regalos estas navidades.  📡 ¡Síguelo #EnDirecto!  https://t.co/zH5C0XBetN
1343132040796004352,ciudadanos,"☕️ ¡Buenos días y #FelizDomingo!  🍊 @Ciutadans ha sido el único dique de contención del separatismo.  🖋️ ""Iceta nunca está cuando se le espera en defensa de los principios constitucionales""  🗞️ Lee aquí la entrevista de @carrizosacarlos en @elperiodico.  https://t.co/FrhudH1LU8  https://t.co/DrFCwhIsDc"
1342890822262517760,ciudadanos,⚠️ Esta semana se ha consumado el atropello de la #LeyCelaá.  🤦‍♀️ El PSOE ha vendido la educación de millones de españoles al separatismo por un puñado de votos.  ✋ No te pierdas el repaso de @Lroldansu diciendo #STOPLeyCelaá en el Senado.  https://t.co/7d0hL6hMFz
1342836046044811264,ciudadanos,"👩‍🍳 En el Día de #SanEsteban no podíamos quedarnos sin disfrutar de los tradicionales canelones.  🍴 @InesArrimadas, @carrizosacarlos, @MarinaBS_Cs, @jordi_canyas y @Nmartinblanco nos cuentan cómo los hacen.  📽 ¡Descúbrelo aquí!  https://t.co/8pRmpshcHO"
1342800499028975616,ciudadanos,"🏃‍♀️🏃‍♂️ Los #PresupuestosMadrid2021 ayudarán a mejorar la salud de los madrileños a través del deporte.  ✅ Asegurar la sostenibilidad de nuestro deporte base. ✅ Fomentar el deporte femenino, deportes minoritarios e inclusivos. ✅ Combatir la obesidad infantil.  #MadridEsDeporte  https://t.co/ZZuSF7iw4e"
1342769332271636480,ciudadanos,☀ ¡Buenos días y #FelizSábado!  🤦‍♂️ Los tripartitos fueron la antesala de la década de confrontación en Cataluña.  ✅ La solución es dar carpetazo al 'procés' el #14F y gobernar #UnaCataluñaParaTODOS.  🧐 ¡Lee la entrevista de @carrizosacarlos en @abc_es!  https://t.co/xZW7ucYuV8  https://t.co/eFqPxvWjOt
1342548166407823360,ciudadanos,👏 Esta semana @MADRID ha aprobado los #PresupuestosMadrid2021 para hacer frente a la crisis sanitaria y económica.  ✅ Vivienda pública asequible. ✅ Renaturalizar Madrid con el #BosqueMetropolitano   ✅ Impulso de #MadridNuevoNorte y desarrollo del sureste.  https://t.co/Has6auJBIZ
1342523000265056256,ciudadanos,"🇪🇸 Es un orgullo que en su discurso el Rey apostase por la ética y la moral en las instituciones, incluida la Casa Real.  ✅Celebremos el proyecto común de todos los españoles recogido en la Constitución de 1978.  📽 @carrizosacarlos ""Felipe VI ha sido impecable en su reinado""  https://t.co/EUI4zCVuP7"
1342490486955769857,ciudadanos,👩‍💻👨‍💻 Ayer @InesArrimadas y @carrizosacarlos conectaron por videollamada con personas que han tenido un año muy difícil o pasan las Navidades solas.   📽 Testimonios emocionantes que animan a seguir adelante unidos y llenos de esperanza.  ▶️ ¡Dale al play y descúbrelos!  https://t.co/2ZXxIf6dwd
1342439878286577664,ciudadanos,"🤦‍♂️ El nacionalismo solo busca derribar a la monarquía, no limpiar las instituciones de corrupción.  📡 @carrizosacarlos ""Laura Borràs tiene la caradura de atribuir conductas poco éticas a la monarquía cuando ella está investigada por dar contratos a sus amiguetes"" #ActualidadCs  https://t.co/YnSUte9sGh"
1342438054276050949,ciudadanos,"🇪🇸 El discurso del Rey Felipe VI fue propio de un estadista.  ✅ Reivindicó el esfuerzo de todos los españoles para afrontar esta crisis.  📡 @carrizosacarlos ""Nos enorgullece su mención clara a la ética y la moral en todas las instituciones, incluida la Corona"" #ActualidadCs  https://t.co/dSWGmoipZO"
1342435282126307329,ciudadanos,"👩‍💻👨‍💻 Ayer @InesArrimadas y @CiutadansCs conectaron por videollamada para acompañar a personas que han sufrido esta pandemia de diferentes formas.  📡 @carrizosacarlos ""No debemos olvidar que detrás de las cifras de fallecidos hay personas y familias que sufren"" #ActualidadCs  https://t.co/Bw2Ou3Y7Xi"
1342434388408152064,ciudadanos,"🎄 Esta Navidad está siendo difícil para muchas familias, autónomos y pymes.   📡 @carrizosacarlos ""Recordamos a los camioneros españoles atrapados en Dover e instamos al Gobierno a gestionar esta situación para agilizar su vuelta a España"" #ActualidadCs  https://t.co/pJ4m1XelcP"
1342426118352207872,ciudadanos,📡 @carrizosacarlos ofrece una rueda de prensa desde la sede de Cs en Barcelona para valorar el mensaje de Navidad del Rey.  🔛 ¡Síguelo #EnDirecto con nosotros!  https://t.co/obLwFAeLsK
1342397723073458178,ciudadanos,"🎄 ¡Buenos días y #FelizNavidad!  ✅ A pesar de lo duro que ha sido este año, la unión y la solidaridad de los ciudadanos ha sido esencial para salir adelante.  😷 Sigamos siendo responsables y cuidemos de los nuestros para seguir brindando en 2021.  https://t.co/SZ2eSNbtbz"
1342149105200586752,ciudadanos,"🎄 Hoy decimos Feliz Nochebuena y Feliz Navidad...  ⁉️... ¿O deberíamos decir 'Feliz Navidad 1, Feliz Navidad 2, Feliz Navidad 3...'?  🎥 Entérate de por qué en este episodio del #VlogDeMel    https://t.co/KxuSHGipn0"
1342119755164090372,ciudadanos,🚚 Más de mil transportistas españoles se encuentran atrapados en Reino Unido a la espera de una prueba de COVID y no podrán volver para las Fiestas.  👉 Os enviamos a todos nuestra solidaridad y apoyo.  https://t.co/8wmY5i1PPq
1342080276508372992,ciudadanos,"Esto es el separatismo...  🤯 Desear en Navidad que los jueces y los constitucionalistas ""se ahoguen"".  📺 Y, además, hacerlo en TV3, la tele pública que pagan todos los catalanes.  ❌ Malversación de recursos públicos y odio. En eso se resume.  https://t.co/vFMA2Vhqjk"
1342048988036530177,ciudadanos,🍊💪 No dejéis de ver estos consejos muy importantes para tener una Feliz Navidad y muy segura.  😷 #Póntela
1342030493584404481,ciudadanos,🎄 ¡Hoy os queremos desear Felices Fiestas y Feliz Navidad!  👉 Celebramos pensando en los que se han ido y con la mirada puesta en el futuro.  🥂 Con prudencia y responsabilidad pronto volveremos a brindar juntos.  https://t.co/48fVLlPwyZ
1341805464263270400,ciudadanos,⚠️ Hoy se ha consumado el atropello de la #LeyCelaá.  🤯 Han vendido los derechos fundamentales de los españoles a cambio de un puñado de votos separatistas.  ‼️ ¡Es inmoral que quieran convertir los abusos de Cataluña en ley orgánica!  🛑 Hoy dijimos #STOPLeyCelaá en el Senado.  https://t.co/bKYG7prgHU
